  _                        
 / `_   _  _  /__/|   _  /_
/_,//_// //_ / // /_//_ /\ 

Reading a list of already known solutions for...
Done reading...
Starting from , steps = 5000
Result: 84 == +[->-<--]>- (11, 2, 1201)
Result: 170 == -[->-<--]>- (11, 2, 599)
Result: 128 == --[>-<--]>- (11, 2, 767)
Result: 170 == +[-->+<-]>- (11, 2, 1201)
Result: 84 == -[-->+<-]>- (11, 2, 599)
Result: 126 == --[->+<-]>- (11, 2, 767)
Result: 84 == +[-->-<-]>- (11, 2, 1201)
Result: 170 == -[-->-<-]>- (11, 2, 599)
Result: 128 == --[->-<-]>- (11, 2, 767)
Result: 84 == +[+++>+<]>- (11, 2, 599)
Result: 170 == -[+++>+<]>- (11, 2, 1201)
Result: 126 == ++[++>+<]>- (11, 2, 767)
Result: 170 == +[--->+<]>- (11, 2, 1201)
Result: 84 == -[--->+<]>- (11, 2, 599)
Result: 126 == --[-->+<]>- (11, 2, 767)
Result: 170 == +[+++>-<]>- (11, 2, 599)
Result: 84 == -[+++>-<]>- (11, 2, 1201)
Result: 128 == ++[++>-<]>- (11, 2, 767)
Result: 84 == +[--->-<]>- (11, 2, 1201)
Result: 170 == -[--->-<]>- (11, 2, 599)
Result: 128 == --[-->-<]>- (11, 2, 767)
Result: 170 == +[>++<+++]> (11, 2, 683)
Result: 86 == -[>++<+++]> (11, 2, 1371)
Result: 170 == ++[>+<+++]> (11, 2, 1194)
Result: 85 == >+[>+<+++]> (11, 3, 599)
Result: 86 == --[>+<+++]> (11, 2, 606)
Result: 171 == >-[>+<+++]> (11, 3, 1201)
Result: 86 == +[>--<+++]> (11, 2, 683)
Result: 170 == -[>--<+++]> (11, 2, 1371)
Result: 86 == ++[>-<+++]> (11, 2, 1194)
Result: 171 == >+[>-<+++]> (11, 3, 599)
Result: 170 == --[>-<+++]> (11, 2, 606)
Result: 85 == >-[>-<+++]> (11, 3, 1201)
Result: 170 == +[+>++<++]> (11, 2, 683)
Result: 86 == -[+>++<++]> (11, 2, 1371)
Result: 170 == ++[+>+<++]> (11, 2, 1194)
Result: 85 == >+[+>+<++]> (11, 3, 599)
Result: 86 == --[+>+<++]> (11, 2, 606)
Result: 171 == >-[+>+<++]> (11, 3, 1201)
Result: 127 == >++[>+<++]> (11, 3, 767)
Result: 86 == +[+>--<++]> (11, 2, 683)
Result: 170 == -[+>--<++]> (11, 2, 1371)
Result: 86 == ++[+>-<++]> (11, 2, 1194)
Result: 171 == >+[+>-<++]> (11, 3, 599)
Result: 170 == --[+>-<++]> (11, 2, 606)
Result: 85 == >-[+>-<++]> (11, 3, 1201)
Result: 129 == >++[>-<++]> (11, 3, 767)
Result: 170 == +[++>++<+]> (11, 2, 683)
Result: 86 == -[++>++<+]> (11, 2, 1371)
Result: 170 == ++[++>+<+]> (11, 2, 1194)
Result: 85 == >+[++>+<+]> (11, 3, 599)
Result: 86 == --[++>+<+]> (11, 2, 606)
Result: 171 == >-[++>+<+]> (11, 3, 1201)
Result: 127 == >++[+>+<+]> (11, 3, 767)
Result: 86 == +[++>--<+]> (11, 2, 683)
Result: 170 == -[++>--<+]> (11, 2, 1371)
Result: 86 == ++[++>-<+]> (11, 2, 1194)
Result: 171 == >+[++>-<+]> (11, 3, 599)
Result: 170 == --[++>-<+]> (11, 2, 606)
Result: 85 == >-[++>-<+]> (11, 3, 1201)
Result: 129 == >++[+>-<+]> (11, 3, 767)
Result: 86 == +[>++<---]> (11, 2, 1371)
Result: 170 == -[>++<---]> (11, 2, 683)
Result: 86 == ++[>+<---]> (11, 2, 606)
Result: 171 == >+[>+<---]> (11, 3, 1201)
Result: 170 == --[>+<---]> (11, 2, 1194)
Result: 85 == >-[>+<---]> (11, 3, 599)
Result: 170 == +[>--<---]> (11, 2, 1371)
Result: 86 == -[>--<---]> (11, 2, 683)
Result: 170 == ++[>-<---]> (11, 2, 606)
Result: 85 == >+[>-<---]> (11, 3, 1201)
Result: 86 == --[>-<---]> (11, 2, 1194)
Result: 171 == >-[>-<---]> (11, 3, 599)
Result: 86 == +[->++<--]> (11, 2, 1371)
Result: 170 == -[->++<--]> (11, 2, 683)
Result: 86 == ++[->+<--]> (11, 2, 606)
Result: 171 == >+[->+<--]> (11, 3, 1201)
Result: 170 == --[->+<--]> (11, 2, 1194)
Result: 85 == >-[->+<--]> (11, 3, 599)
Result: 127 == >--[>+<--]> (11, 3, 767)
Result: 170 == +[->--<--]> (11, 2, 1371)
Result: 86 == -[->--<--]> (11, 2, 683)
Result: 170 == ++[->-<--]> (11, 2, 606)
Result: 85 == >+[->-<--]> (11, 3, 1201)
Result: 86 == --[->-<--]> (11, 2, 1194)
Result: 171 == >-[->-<--]> (11, 3, 599)
Result: 129 == >--[>-<--]> (11, 3, 767)
Result: 86 == +[-->++<-]> (11, 2, 1371)
Result: 170 == -[-->++<-]> (11, 2, 683)
Result: 86 == ++[-->+<-]> (11, 2, 606)
Result: 171 == >+[-->+<-]> (11, 3, 1201)
Result: 170 == --[-->+<-]> (11, 2, 1194)
Result: 85 == >-[-->+<-]> (11, 3, 599)
Result: 127 == >--[->+<-]> (11, 3, 767)
Result: 170 == +[-->--<-]> (11, 2, 1371)
Result: 86 == -[-->--<-]> (11, 2, 683)
Result: 170 == ++[-->-<-]> (11, 2, 606)
Result: 85 == >+[-->-<-]> (11, 3, 1201)
Result: 86 == --[-->-<-]> (11, 2, 1194)
Result: 171 == >-[-->-<-]> (11, 3, 599)
Result: 129 == >--[->-<-]> (11, 3, 767)
Result: 170 == +[+++>++<]> (11, 2, 683)
Result: 86 == -[+++>++<]> (11, 2, 1371)
Result: 86 == +[--->++<]> (11, 2, 1371)
Result: 170 == -[--->++<]> (11, 2, 683)
Result: 170 == ++[+++>+<]> (11, 2, 1194)
Result: 85 == >+[+++>+<]> (11, 3, 599)
Result: 86 == --[+++>+<]> (11, 2, 606)
Result: 171 == >-[+++>+<]> (11, 3, 1201)
Result: 127 == >++[++>+<]> (11, 3, 767)
Result: 86 == ++[--->+<]> (11, 2, 606)
Result: 171 == >+[--->+<]> (11, 3, 1201)
Result: 170 == --[--->+<]> (11, 2, 1194)
Result: 85 == >-[--->+<]> (11, 3, 599)
Result: 127 == >--[-->+<]> (11, 3, 767)
Result: 86 == +[+++>--<]> (11, 2, 683)
Result: 170 == -[+++>--<]> (11, 2, 1371)
Result: 170 == +[--->--<]> (11, 2, 1371)
Result: 86 == -[--->--<]> (11, 2, 683)
Result: 86 == ++[+++>-<]> (11, 2, 1194)
Result: 171 == >+[+++>-<]> (11, 3, 599)
Result: 170 == --[+++>-<]> (11, 2, 606)
Result: 85 == >-[+++>-<]> (11, 3, 1201)
Result: 129 == >++[++>-<]> (11, 3, 767)
Result: 170 == ++[--->-<]> (11, 2, 606)
Result: 85 == >+[--->-<]> (11, 3, 1201)
Result: 86 == --[--->-<]> (11, 2, 1194)
Result: 171 == >-[--->-<]> (11, 3, 599)
Result: 129 == >--[-->-<]> (11, 3, 767)
Result: 12 == ++++++++++++ (12, 1, 12)
Result: 11 == >+++++++++++ (12, 2, 12)
Result: 10 == >>++++++++++ (12, 3, 12)
Result: 9 == >>>+++++++++ (12, 4, 12)
Result: 87 == +[>+<+++]>++ (12, 2, 600)
Result: 173 == -[>+<+++]>++ (12, 2, 1202)
Result: 173 == +[>-<+++]>++ (12, 2, 600)
Result: 87 == -[>-<+++]>++ (12, 2, 1202)
Result: 87 == +[+>+<++]>++ (12, 2, 600)
Result: 173 == -[+>+<++]>++ (12, 2, 1202)
Result: 173 == +[+>-<++]>++ (12, 2, 600)
Result: 87 == -[+>-<++]>++ (12, 2, 1202)
Result: 131 == ++[>-<++]>++ (12, 2, 768)
Result: 87 == +[++>+<+]>++ (12, 2, 600)
Result: 173 == -[++>+<+]>++ (12, 2, 1202)
Result: 173 == +[++>-<+]>++ (12, 2, 600)
Result: 87 == -[++>-<+]>++ (12, 2, 1202)
Result: 131 == ++[+>-<+]>++ (12, 2, 768)
Result: 173 == +[>+<---]>++ (12, 2, 1202)
Result: 87 == -[>+<---]>++ (12, 2, 600)
Result: 87 == +[>-<---]>++ (12, 2, 1202)
Result: 173 == -[>-<---]>++ (12, 2, 600)
Result: 173 == +[->+<--]>++ (12, 2, 1202)
Result: 87 == -[->+<--]>++ (12, 2, 600)
